Date : 2024-03-30 09:02:21
Directory : c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024
Total : 74 files,  9785 codes, 182 comments, 911 blanks, all 10878 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\NotedLoadedSubsystem.java   | Java               |         59 |          0 |         16 |         75 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\OuterIntakeSubsystem.java   | Java               |         89 |          0 |         17 |        106 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\ServoRollerSubsystem.java   | Java               |         95 |          1 |         19 |        115 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\ShooterTiltSubsystem.java   | Java               |        142 |          0 |         21 |        163 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\SingulatorSubsystem.java    | Java               |         89 |          0 |         17 |        106 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\TelemetrySubsystem.java     | Java               |        326 |         10 |         36 |        372 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\TopShooterSubsystem.java    | Java               |         95 |          0 |         19 |        114 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\subsystems\TransportSubsystem.java     | Java               |         89 |          0 |         17 |        106 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\triggers\ComplexTriggers.java          | Java               |         24 |          2 |         11 |         37 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\vendordeps\NavX.json                                           | JSON               |         40 |          0 |          0 |         40 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\vendordeps\PathplannerLib.json                                 | JSON               |         38 |          0 |          0 |         38 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\vendordeps\Phoenix5.json                                       | JSON               |        151 |          0 |          0 |        151 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\vendordeps\Phoenix6.json                                       | JSON               |        339 |          0 |          0 |        339 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\vendordeps\REVLib.json                                         | JSON               |         74 |          0 |          0 |         74 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\vendordeps\WPILibNewCommands.json                              | JSON               |         38 |          0 |          1 |         39 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\vendordeps\playingwithfusion2024.json                          | JSON               |         71 |          0 |          0 |         71 |
| Total                                                                                                             |                    |      9,785 |        182 |        911 |     10,878 |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
